sub_id,stim_id,condition,rt,stim_type,stim_sex,condition.e,stim_sex.e,stim_type.e
604660,Divide,congruent,715,object,male,-0.5,0.5,0.5
604660,_bf_serenawilliams,congruent,497,person,female,-0.5,-0.5,-0.5
604660,Count,congruent,772,object,male,-0.5,0.5,0.5
604660,_bf_aliciakeys,congruent,507,person,female,-0.5,-0.5,-0.5
604660,Literature,congruent,501,object,female,-0.5,-0.5,0.5
604660,_wm_nicklachey,congruent,481,person,male,-0.5,0.5,-0.5
604660,Fraction,congruent,542,object,male,-0.5,0.5,0.5
604660,_bm_neyo,congruent,552,person,male,-0.5,0.5,-0.5
604660,Math,congruent,481,object,male,-0.5,0.5,0.5
604660,_wf_jessicasimpson,congruent,517,person,female,-0.5,-0.5,-0.5
604660,Essay,congruent,711,object,female,-0.5,-0.5,0.5
604660,_wf_jessicabiel,congruent,512,person,female,-0.5,-0.5,-0.5
604660,Poetry,congruent,526,object,female,-0.5,-0.5,0.5
604660,_bm_nickcannon,congruent,517,person,male,-0.5,0.5,-0.5
604660,_wf_jessicasimpson,congruent,433,person,female,-0.5,-0.5,-0.5
604660,Vocabulary,congruent,457,object,female,-0.5,-0.5,0.5
604660,_bm_neyo,congruent,482,person,male,-0.5,0.5,-0.5
604660,Number,congruent,998,object,male,-0.5,0.5,0.5
604660,_bm_neyo,congruent,461,person,male,-0.5,0.5,-0.5
604660,Math,congruent,502,object,male,-0.5,0.5,0.5
604660,_bf_serenawilliams,congruent,462,person,female,-0.5,-0.5,-0.5
604660,Count,congruent,563,object,male,-0.5,0.5,0.5
604660,_wm_mattdamon,congruent,492,person,male,-0.5,0.5,-0.5
604660,Poetry,congruent,548,object,female,-0.5,-0.5,0.5
604660,_wm_nicklachey,congruent,578,person,male,-0.5,0.5,-0.5
604660,_wf_jessicasimpson,congruent,492,person,female,-0.5,-0.5,-0.5
604660,Literature,congruent,487,object,female,-0.5,-0.5,0.5
604660,_bm_nickcannon,congruent,487,person,male,-0.5,0.5,-0.5
604660,Decimal,congruent,22,object,male,-0.5,0.5,0.5
604660,_wf_jessicabiel,congruent,98,person,female,-0.5,-0.5,-0.5
604660,_bf_aliciakeys,congruent,67,person,female,-0.5,-0.5,-0.5
604660,Spelling,congruent,12,object,female,-0.5,-0.5,0.5
604660,_wf_jessicasimpson,congruent,47,person,female,-0.5,-0.5,-0.5
604660,Essay,incongruent,859,object,female,0.5,-0.5,0.5
604660,_wm_nicklachey,incongruent,1629,person,male,0.5,0.5,-0.5
604660,Number,incongruent,493,object,male,0.5,0.5,0.5
604660,_bm_neyo,incongruent,492,person,male,0.5,0.5,-0.5
604660,Sentence,incongruent,1337,object,female,0.5,-0.5,0.5
604660,_bf_aliciakeys,incongruent,871,person,female,0.5,-0.5,-0.5
604660,Multiply,incongruent,588,object,male,0.5,0.5,0.5
604660,_wf_jessicasimpson,incongruent,547,person,female,0.5,-0.5,-0.5
604660,Count,incongruent,558,object,male,0.5,0.5,0.5
604660,_bm_nickcannon,incongruent,582,person,male,0.5,0.5,-0.5
604660,Decimal,incongruent,501,object,male,0.5,0.5,0.5
604660,Spelling,incongruent,717,object,female,0.5,-0.5,0.5
604660,_bf_serenawilliams,incongruent,497,person,female,0.5,-0.5,-0.5
604660,Math,incongruent,457,object,male,0.5,0.5,0.5
604660,_bm_neyo,incongruent,582,person,male,0.5,0.5,-0.5
604660,Spelling,incongruent,1619,object,female,0.5,-0.5,0.5
604660,_bf_serenawilliams,incongruent,631,person,female,0.5,-0.5,-0.5
604660,Essay,incongruent,536,object,female,0.5,-0.5,0.5
604660,_bf_aliciakeys,incongruent,1029,person,female,0.5,-0.5,-0.5
604660,_bm_neyo,incongruent,822,person,male,0.5,0.5,-0.5
604660,Decimal,incongruent,646,object,male,0.5,0.5,0.5
604660,_wf_jessicabiel,incongruent,821,person,female,0.5,-0.5,-0.5
604660,Math,incongruent,526,object,male,0.5,0.5,0.5
604660,_bf_serenawilliams,incongruent,574,person,female,0.5,-0.5,-0.5
604660,Count,incongruent,802,object,male,0.5,0.5,0.5
604660,_bm_nickcannon,incongruent,529,person,male,0.5,0.5,-0.5
604660,Vocabulary,incongruent,18,object,female,0.5,-0.5,0.5
604660,_wm_mattdamon,incongruent,13,person,male,0.5,0.5,-0.5
604667,Spelling,congruent,877,object,female,-0.5,-0.5,0.5
604667,_bm_nickcannon,congruent,645,person,male,-0.5,0.5,-0.5
604667,Sentence,congruent,804,object,female,-0.5,-0.5,0.5
604667,_wm_nicklachey,congruent,623,person,male,-0.5,0.5,-0.5
604667,Essay,congruent,702,object,female,-0.5,-0.5,0.5
604667,_wf_jessicabiel,congruent,654,person,female,-0.5,-0.5,-0.5
604667,Number,congruent,600,object,male,-0.5,0.5,0.5
604667,_bf_serenawilliams,congruent,571,person,female,-0.5,-0.5,-0.5
604667,Decimal,congruent,659,object,male,-0.5,0.5,0.5
604667,_bf_aliciakeys,congruent,566,person,female,-0.5,-0.5,-0.5
604667,Fraction,congruent,713,object,male,-0.5,0.5,0.5
604667,_wf_jessicasimpson,congruent,533,person,female,-0.5,-0.5,-0.5
604667,Paragraph,congruent,596,object,female,-0.5,-0.5,0.5
604667,_wf_jessicasimpson,congruent,521,person,female,-0.5,-0.5,-0.5
604667,Count,congruent,626,object,male,-0.5,0.5,0.5
604667,_bm_neyo,congruent,424,person,male,-0.5,0.5,-0.5
604667,Literature,congruent,578,object,female,-0.5,-0.5,0.5
604667,_wm_mattdamon,congruent,543,person,male,-0.5,0.5,-0.5
604667,Math,congruent,451,object,male,-0.5,0.5,0.5
604667,_bm_neyo,congruent,477,person,male,-0.5,0.5,-0.5
604667,Number,congruent,656,object,male,-0.5,0.5,0.5
604667,_bf_serenawilliams,congruent,458,person,female,-0.5,-0.5,-0.5
604667,Sentence,congruent,544,object,female,-0.5,-0.5,0.5
604667,_wm_mattdamon,congruent,458,person,male,-0.5,0.5,-0.5
604667,Spelling,congruent,501,object,female,-0.5,-0.5,0.5
604667,_wf_jessicasimpson,congruent,542,person,female,-0.5,-0.5,-0.5
604667,Poetry,congruent,475,object,female,-0.5,-0.5,0.5
604667,_bf_aliciakeys,congruent,516,person,female,-0.5,-0.5,-0.5
604667,Paragraph,congruent,554,object,female,-0.5,-0.5,0.5
604667,_wf_jessicabiel,congruent,540,person,female,-0.5,-0.5,-0.5
604667,Vocabulary,congruent,470,object,female,-0.5,-0.5,0.5
604667,_bf_aliciakeys,congruent,587,person,female,-0.5,-0.5,-0.5
604667,Math,congruent,469,object,male,-0.5,0.5,0.5
604667,_bm_neyo,congruent,432,person,male,-0.5,0.5,-0.5
604667,Fraction,congruent,508,object,male,-0.5,0.5,0.5
604667,_bm_nickcannon,congruent,424,person,male,-0.5,0.5,-0.5
604667,Divide,congruent,505,object,male,-0.5,0.5,0.5
604667,_wm_nicklachey,congruent,450,person,male,-0.5,0.5,-0.5
604667,Count,congruent,488,object,male,-0.5,0.5,0.5
604667,_wm_nicklachey,congruent,431,person,male,-0.5,0.5,-0.5
604667,Fraction,incongruent,818,object,male,0.5,0.5,0.5
604667,_wm_nicklachey,incongruent,616,person,male,0.5,0.5,-0.5
604667,Decimal,incongruent,724,object,male,0.5,0.5,0.5
604667,_bf_aliciakeys,incongruent,542,person,female,0.5,-0.5,-0.5
604667,Count,incongruent,615,object,male,0.5,0.5,0.5
